idx,level,human_quality,human_strategy_adherence
53,3,5,5
53,2,4,5
53,1,1,2
53,4,4,5
95,3,4,5
95,2,3,4
95,1,3,5
95,4,3,4
137,2,5,5
137,1,4,4
137,3,2,3
137,4,2,5
286,1,3,5
286,2,4,5
286,4,3,4
286,3,3,4
383,3,5,5
383,4,3,5
383,1,4,5
383,2,4,5
406,3,2,5
406,2,5,5
406,4,4,5
406,1,2,4
530,4,4,5
530,2,3,4
530,1,2,4
530,3,5,5
658,1,3,4
658,2,5,5
658,4,4,5
658,3,4,5
681,2,5,5
681,4,4,5
681,3,3,5
681,1,5,5
682,3,4,5
682,2,5,5
682,1,5,5
682,4,3,5
718,4,4,5
718,1,5,5
718,2,4,5
718,3,3,5
731,3,3,4
731,1,5,5
731,2,5,5
731,4,4,5
772,3,3,5
772,4,5,5
772,1,4,3
772,2,5,5
800,3,2,4
800,2,4,5
800,4,3,4
800,1,4,4
802,3,2,4
802,4,2,3
802,1,1,5
802,2,4,5
855,2,5,5
855,3,5,5
855,4,4,5
855,1,4,5
984,3,3,5
984,1,2,4
984,4,3,5
984,2,4,5
1196,3,4,5
1196,2,3,4
1196,4,5,5
1196,1,4,5
1248,2,1,5
1248,1,1,5
1248,3,5,5
1248,4,5,5
1261,4,3,4
1261,1,3,4
1261,3,5,5
1261,2,5,5
1288,4,3,5
1288,1,1,5
1288,2,3,5
1288,3,2,5
1315,2,2,5
1315,3,2,3
1315,1,2,3
1315,4,5,5
1367,3,5,5
1367,2,4,4
1367,4,5,5
1367,1,4,4
1443,2,3,4
1443,1,4,5
1443,4,5,5
1443,3,5,5
1504,4,5,5
1504,2,4,5
1504,1,4,5
1504,3,5,5
1549,2,5,5
1549,1,2,4
1549,3,5,5
1549,4,5,5
1552,1,5,5
1552,2,5,5
1552,4,4,4
1552,3,5,5
1566,1,5,5
1566,2,4,5
1566,4,5,5
1566,3,5,5
1603,4,5,5
1603,3,5,5
1603,1,5,5
1603,2,4,5
1659,1,4,5
1659,3,3,3
1659,2,5,5
1659,4,4,4
1709,1,1,1
1709,4,1,1
1709,2,1,1
1709,3,5,5
1719,3,2,4
1719,1,3,4
1719,4,4,4
1719,2,4,5
