idx,level,strategy,context,response,word_count,input_tokens,output_tokens,latency_seconds,meta_commentary_stripped,leading_header_stripped,condition,true_label,pred_label,correct
2,2,Question,"[seeker] Yes, my family is scattered all over the country, like Seattle, Georgia, PA.  I'm sure I'm not the only one with no plans this weekend, though. [supporter] True but I can understand that, it is hard being alone at the holidays.","That sounds really tough being separated from them. Have you been able to stay connected with your family in other ways recently, or is the distance feeling particularly heavy right now?",31,152,37,2.077,False,False,predicted,Question,Question,True
2,4,Question,"[seeker] Yes, my family is scattered all over the country, like Seattle, Georgia, PA.  I'm sure I'm not the only one with no plans this weekend, though. [supporter] True but I can understand that, it is hard being alone at the holidays.","When you think about spending the weekend alone, what part of it feels hardest for you right now?",18,412,24,0.994,False,False,predicted,Question,Question,True
41,2,Information,"[seeker] possibly, problem is that i don't want to show myself online, what do you think about wearing a full face mask and do youtube?","Wearing a mask can work for YouTube! Many successful creators do it—think gamers, crafters, and performers. It lets you share your passion while keeping privacy. Just ensure good lighting and clear audio so viewers connect with your content.",38,121,52,1.41,False,False,predicted,Providing Suggestions,Information,False
41,4,Information,"[seeker] possibly, problem is that i don't want to show myself online, what do you think about wearing a full face mask and do youtube?","Face masks on camera have become fairly common for content creators across various platforms—gaming, fitness, and music channels all feature masked creators successfully building audiences.",25,402,33,1.553,False,False,predicted,Providing Suggestions,Information,False
53,2,Information,[seeker] Why do you think it will get better?,"Research shows that most people do recover from difficult periods. Time, support systems, and even small positive actions can shift our perspective and circumstances gradually but meaningfully.",27,102,35,1.101,False,False,predicted,Self-disclosure,Information,False
53,4,Information,[seeker] Why do you think it will get better?,"Most difficult periods naturally shift because circumstances change, people adapt their coping skills, and time allows emotional intensity to decrease—these are common patterns people experience.",25,383,34,1.301,False,False,predicted,Self-disclosure,Information,False
58,2,Providing Suggestions,"[seeker] Well, I do love to write but sometimes the 
sadness just burns me out completely and I stare at the empty page.","Have you tried writing about the sadness itself? Sometimes putting those heavy feelings onto the page—even messily—can break through the block. Start small, with just a few sentences. Movement creates momentum.",31,125,45,1.277,False,False,predicted,Question,Providing Suggestions,False
58,4,Providing Suggestions,"[seeker] Well, I do love to write but sometimes the 
sadness just burns me out completely and I stare at the empty page.","When that heaviness hits, what if you tried writing about the sadness itself rather than waiting for it to lift? Sometimes putting the struggle onto the page can unlock something.",30,431,38,1.005,False,False,predicted,Question,Providing Suggestions,False
67,2,Affirmation and Reassurance,[seeker] This person is a good person to every one I didn't pray for this at all,I can hear how much this person means to you. It's clear you care deeply about them. Sometimes life throws us challenges we don't expect—that doesn't diminish who they are or the goodness you see in them. You're being a good friend by being here.,45,121,60,1.243,False,False,predicted,Reflection of feelings,Affirmation and Reassurance,False
67,4,Affirmation and Reassurance,[seeker] This person is a good person to every one I didn't pray for this at all,"That sense of unfairness you're feeling shows how much you value goodness in others. Sometimes the most difficult situations happen to people who deserve them least, and that's genuinely hard to process.",32,402,44,1.28,False,False,predicted,Reflection of feelings,Affirmation and Reassurance,False
73,2,Providing Suggestions,"[seeker] For now I can't think of any, because I am totally depressed right now, I feel that the world is going to end right now","I hear you're in real pain right now. One thing that might help: let's focus on just this moment. Could you try taking three slow, deep breaths with me? Sometimes grounding ourselves physically can ease the overwhelming feeling.",38,126,51,1.338,False,False,predicted,Others,Providing Suggestions,False
73,4,Providing Suggestions,"[seeker] For now I can't think of any, because I am totally depressed right now, I feel that the world is going to end right now","When everything feels overwhelming like this, it might help to focus on just the next few hours rather than the whole situation—what's one small thing you could do today that usually brings you a bit of calm?",37,432,45,1.196,False,False,predicted,Others,Providing Suggestions,False
77,2,Question,"[seeker] I'm not sure how, exactly. I'm dealing with repeated rejections.","I hear you—repeated rejections can feel really discouraging. To better understand what you're going through, could you share what area this is affecting? Is it relationships, job applications, creative work, or something else?",33,113,49,1.093,False,False,predicted,Self-disclosure,Question,False
77,4,Question,"[seeker] I'm not sure how, exactly. I'm dealing with repeated rejections.","What kinds of rejections have you been facing, and in what area of your life are they happening most?",19,373,25,0.924,False,False,predicted,Self-disclosure,Question,False
92,2,Reflection of feelings,[seeker] It just isn't my fault. [seeker] My wife had no right to leave California without me. [seeker] I made a mistake making California my home.,It sounds like you're feeling hurt and frustrated that your wife left California without including you in that decision. That must feel like a real betrayal of the life you built together there.,33,133,40,1.146,False,False,predicted,Question,Reflection of feelings,False
92,4,Reflection of feelings,[seeker] It just isn't my fault. [seeker] My wife had no right to leave California without me. [seeker] I made a mistake making California my home.,"It sounds like you're feeling hurt and perhaps frustrated that your wife made this major decision without you, and now you're questioning whether California was ever the right choice for you in the first place.",35,407,42,0.953,False,False,predicted,Question,Reflection of feelings,False
